 Airline ,Destination,Status,Count
ALASKA,Los Angeles,on time,497
ALASKA,Los Angeles,delayed,62
ALASKA,Phoenix,on time,221
ALASKA,Phoenix,delayed,12
ALASKA,San Diego,on time,212
ALASKA,San Diego,delayed,20
ALASKA,San Francisco,on time,503
ALASKA,San Francisco,delayed,102
ALASKA,Seattle,on time,1841
ALASKA,Seattle,delayed,305
AM WEST,Los Angeles,on time,694
AM WEST,Los Angeles,delayed,117
AM WEST,Phoenix,on time,4840
AM WEST,Phoenix,delayed,415
AM WEST,San Diego,on time,383
AM WEST,San Diego,delayed,65
AM WEST,San Francisco,on time,320
AM WEST,San Francisco,delayed,129
AM WEST,Seattle,on time,201
AM WEST,Seattle,delayed,61
